question_id,category,topic,difficulty,question,expected_answer,keywords
Q019,Machine Learning,Model Evaluation,Easy,What is cross-validation and why is it used?,"Cross-validation is a technique to evaluate model performance by splitting data into multiple folds, training on some folds and testing on others, to get a reliable estimate of generalization performance.","cross validation,folds,generalization"
Q020,Machine Learning,Ensemble Learning,Hard,What is ensemble learning? Explain bagging and boosting.,"Ensemble learning combines multiple models to improve overall performance. Bagging trains models independently on random subsets and averages results, like Random Forest. Boosting trains models sequentially, each correcting the errors of the previous one, like AdaBoost.","ensemble,bagging,boosting,random forest,adaboost"
Q021,Artificial Intelligence,Basics,Easy,What is Artificial Intelligence? Give two real-world applications.,"Artificial Intelligence is the simulation of human intelligence in machines that can learn, reason, and make decisions. Applications include self-driving cars and virtual assistants.","artificial intelligence,applications,intelligent systems"
Q022,Artificial Intelligence,Search Algorithms,Medium,Explain the difference between BFS and DFS in AI search problems.,"BFS explores all nodes at the current depth before moving deeper, using a queue, and finds the shortest path in unweighted graphs. DFS explores as far as possible along a branch before backtracking, using a stack or recursion.","bfs,dfs,search algorithm,graph traversal"
Q023,Artificial Intelligence,Knowledge Representation,Medium,What is knowledge representation in AI?,"Knowledge representation is the method of encoding information about the world in a form that a computer system can use to solve complex tasks, such as using semantic networks or logic rules.","knowledge representation,semantic network,logic"
Q024,Artificial Intelligence,Expert Systems,Medium,What is an expert system and what are its main components?,An expert system is an AI program that mimics human expert decision-making using a knowledge base and an inference engine to derive conclusions from facts and rules.,"expert system,knowledge base,inference engine"
Q025,Artificial Intelligence,Turing Test,Easy,What is the Turing Test used for?,"The Turing Test evaluates a machine's ability to exhibit intelligent behavior indistinguishable from that of a human, based on a conversation between a human judge and a machine.","turing test,intelligence,human-like behavior"
Q026,Artificial Intelligence,Heuristics,Hard,What is a heuristic function and how is it used in AI search algorithms like A*?,"A heuristic function estimates the cost from the current state to the goal state, guiding search algorithms like A* to find efficient paths by prioritizing promising nodes.","heuristic,a star,search,cost estimation"
Q027,Artificial Intelligence,Types of AI,Easy,What is the difference between Narrow AI and General AI?,"Narrow AI is designed to perform a specific task, such as facial recognition, while General AI would have the ability to understand and perform any intellectual task a human can.","narrow ai,general ai,artificial general intelligence"
Q028,Artificial Intelligence,Neural Networks,Medium,What is a neural network and how is it inspired by the human brain?,"A neural network is a computational model consisting of layers of interconnected nodes, or neurons, inspired by the way biological neurons transmit signals, used to recognize patterns in data.","neural network,neurons,layers,pattern recognition"
Q029,Artificial Intelligence,Fuzzy Logic,Hard,What is fuzzy logic and how does it differ from traditional binary logic?,"Fuzzy logic allows for degrees of truth between 0 and 1, unlike traditional binary logic which only allows true or false. It is used to handle uncertainty and imprecise information.","fuzzy logic,degrees of truth,uncertainty"
Q030,Artificial Intelligence,Applications,Easy,Name and briefly explain two applications of AI in daily life.,"AI is used in recommendation systems, such as those on streaming platforms, to suggest relevant content, and in voice assistants like Siri to understand and respond to spoken commands.","applications,recommendation systems,voice assistants"
Q031,DBMS,Normalization,Medium,What is normalization in DBMS? Explain 1NF and 2NF.,Normalization organizes data to reduce redundancy. 1NF requires atomic values with no repeating groups. 2NF requires 1NF and that all non-key attributes fully depend on the primary key.,"normalization,1nf,2nf,redundancy,primary key"
Q032,DBMS,Keys,Easy,What is the difference between a primary key and a foreign key?,"A primary key uniquely identifies each record in a table, while a foreign key is a field in one table that references the primary key in another table to establish a relationship.","primary key,foreign key,relationship,unique identifier"
Q033,DBMS,Transactions,Medium,Explain the ACID properties of a database transaction.,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These properties ensure that database transactions are processed reliably even in cases of failure.","acid,atomicity,consistency,isolation,durability"
Q034,DBMS,Indexing,Medium,What is indexing in a database and why is it used?,"Indexing creates a data structure that improves the speed of data retrieval operations on a table, at the cost of additional storage and slower write operations.","indexing,performance,data retrieval"
Q035,DBMS,Joins,Medium,Explain the difference between INNER JOIN and LEFT JOIN.,"INNER JOIN returns only the matching rows between two tables, while LEFT JOIN returns all rows from the left table and matched rows from the right table, with NULLs where there is no match.","inner join,left join,sql,tables"
Q036,DBMS,ER Model,Easy,What is an Entity-Relationship (ER) diagram used for?,"An ER diagram visually represents entities, their attributes, and the relationships between them, helping to design the structure of a database before implementation.","er diagram,entity,relationship,attributes"
Q037,DBMS,Concurrency Control,Hard,What is concurrency control in DBMS and why is it needed?,"Concurrency control manages simultaneous access to a database by multiple transactions to prevent issues like lost updates, dirty reads, and inconsistent data.","concurrency control,transactions,locking,consistency"
Q038,DBMS,Database Design,Medium,What is denormalization and when is it used?,"Denormalization is the process of combining normalized tables to improve read performance, often used in data warehousing or reporting systems where read speed is prioritized over storage efficiency.","denormalization,performance,data warehousing"
Q039,DBMS,Storage,Medium,What is the difference between a clustered index and a non-clustered index?,"A clustered index determines the physical order of data in a table and there can be only one per table, while a non-clustered index creates a separate structure pointing to the data, allowing multiple per table.","clustered index,non-clustered index,storage"
Q040,DBMS,Transactions,Easy,What is a deadlock in a database system?,"A deadlock occurs when two or more transactions are waiting indefinitely for each other to release locks, preventing any of them from proceeding.","deadlock,locking,transactions"
Q041,SQL,Basics,Easy,What is the difference between DELETE and TRUNCATE in SQL?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once, is faster, and generally cannot be rolled back in most databases.","delete,truncate,rollback,sql"
Q042,SQL,Aggregate Functions,Easy,What are aggregate functions in SQL? Give three examples.,"Aggregate functions perform a calculation on a set of values and return a single value. Examples include SUM, AVG, and COUNT.","aggregate functions,sum,avg,count"
Q043,SQL,Grouping,Medium,What is the purpose of the GROUP BY clause in SQL?,"The GROUP BY clause groups rows that have the same values in specified columns, often used with aggregate functions to summarize data for each group.","group by,aggregate,summarize"
Q044,SQL,Subqueries,Medium,What is a subquery in SQL? Give an example use case.,"A subquery is a query nested inside another query, often used to filter results based on the output of the inner query, such as finding employees who earn more than the average salary.","subquery,nested query,filtering"
Q045,SQL,Constraints,Easy,What are constraints in SQL? Name three common types.,"Constraints enforce rules on data in a table. Common types include PRIMARY KEY, FOREIGN KEY, and NOT NULL.","constraints,primary key,foreign key,not null"
Q046,SQL,Views,Medium,What is a view in SQL and why is it useful?,"A view is a virtual table based on the result of an SQL query. It simplifies complex queries, enhances security by restricting data access, and improves code reusability.","view,virtual table,security,reusability"
Q047,SQL,Joins,Hard,Explain the difference between UNION and UNION ALL in SQL.,"UNION combines the results of two queries and removes duplicate rows, while UNION ALL combines results without removing duplicates, making it faster.","union,union all,duplicates,performance"
Q048,SQL,Indexes,Medium,How does an index improve SQL query performance?,"An index allows the database engine to locate rows faster without scanning the entire table, similar to an index in a book, significantly speeding up SELECT queries.","index,query performance,select"
Q049,SQL,Stored Procedures,Hard,What is a stored procedure and what are its advantages?,"A stored procedure is a precompiled collection of SQL statements stored in the database. It improves performance, reusability, and security by encapsulating logic on the server side.","stored procedure,precompiled,reusability,security"
Q050,SQL,Data Types,Easy,What is the difference between CHAR and VARCHAR data types in SQL?,"CHAR is a fixed-length string data type that pads unused space, while VARCHAR is a variable-length data type that only uses as much storage as needed.","char,varchar,fixed length,variable length"
Q051,Data Structures,Arrays,Easy,What are the advantages and disadvantages of using an array?,"Arrays offer fast random access using indices and are memory-efficient, but have a fixed size and require costly insertions or deletions in the middle.","array,random access,fixed size,insertion"
Q052,Data Structures,Linked List,Medium,What is a linked list and how is it different from an array?,"A linked list is a linear data structure where elements are stored in nodes connected via pointers, allowing dynamic size and efficient insertions/deletions, unlike arrays which have fixed size and contiguous memory.","linked list,node,pointer,dynamic size"
Q053,Data Structures,Stack,Easy,What is a stack and where is it used? Give one real-world example.,"A stack is a linear data structure that follows the Last In First Out (LIFO) principle. It is used in function call management, undo operations, and expression evaluation.","stack,lifo,function calls,undo"
Q054,Data Structures,Queue,Easy,What is a queue and how does it differ from a stack?,"A queue is a linear data structure that follows the First In First Out (FIFO) principle, unlike a stack which follows LIFO. Queues are used in task scheduling and buffering.","queue,fifo,scheduling,buffering"
Q055,Data Structures,Trees,Medium,What is a binary search tree and what property does it maintain?,"A binary search tree is a tree data structure where each node has at most two children, and for every node, the left subtree contains smaller values while the right subtree contains larger values.","binary search tree,left subtree,right subtree"
Q056,Data Structures,Graphs,Medium,What is the difference between a directed and an undirected graph?,"In a directed graph, edges have a direction indicating a one-way relationship between nodes, while in an undirected graph, edges represent a two-way relationship with no direction.","directed graph,undirected graph,edges,nodes"
Q057,Data Structures,Hashing,Medium,What is a hash table and how does it achieve fast lookups?,"A hash table stores key-value pairs and uses a hash function to compute an index into an array of buckets, allowing average constant time complexity for lookups, insertions, and deletions.","hash table,hash function,lookup,constant time"
Q058,Data Structures,Heaps,Hard,What is a heap data structure and where is it commonly used?,"A heap is a complete binary tree that satisfies the heap property, where the parent node is either always greater (max-heap) or smaller (min-heap) than its children. It is commonly used in priority queues and heap sort.","heap,max-heap,min-heap,priority queue"
Q059,Data Structures,Trees,Hard,What is the difference between a binary tree and a balanced binary tree?,"A binary tree is any tree where each node has at most two children, while a balanced binary tree maintains a height difference of at most one between subtrees to ensure efficient operations.","binary tree,balanced tree,height,avl"
Q060,Data Structures,Time Complexity,Medium,What is time complexity and why is it important in choosing data structures?,Time complexity measures how the runtime of an algorithm grows with input size. It helps in choosing the most efficient data structure and algorithm for a given problem based on performance requirements.,"time complexity,big o,efficiency"
Q061,Algorithms,Sorting,Easy,What is the time complexity of bubble sort in the worst case?,"Bubble sort has a worst-case time complexity of O(n squared), as it repeatedly compares and swaps adjacent elements until the array is sorted.","bubble sort,time complexity,worst case"
Q062,Algorithms,Sorting,Medium,How does merge sort work and what is its time complexity?,"Merge sort divides the array into halves recursively, sorts each half, and merges them back together. It has a time complexity of O(n log n) in all cases.","merge sort,divide and conquer,time complexity"
Q063,Algorithms,Searching,Easy,What is the difference between linear search and binary search?,"Linear search checks each element sequentially with O(n) time complexity, while binary search works on sorted arrays by repeatedly dividing the search interval in half, achieving O(log n) time complexity.","linear search,binary search,sorted array"
Q064,Algorithms,Recursion,Medium,What is recursion and what are its two essential components?,"Recursion is a technique where a function calls itself to solve smaller instances of a problem. Its two essential components are a base case, which stops the recursion, and a recursive case, which breaks the problem down.","recursion,base case,recursive case"
Q065,Algorithms,Dynamic Programming,Hard,What is dynamic programming and how does it differ from simple recursion?,"Dynamic programming solves complex problems by breaking them into overlapping subproblems and storing their results to avoid redundant computation, unlike simple recursion which may recompute the same subproblems repeatedly.","dynamic programming,memoization,overlapping subproblems"
Q066,Algorithms,Greedy Algorithms,Medium,What is a greedy algorithm? Give one example.,A greedy algorithm makes the locally optimal choice at each step with the hope of finding a global optimum. An example is Dijkstra's algorithm for finding the shortest path.,"greedy algorithm,local optimum,dijkstra"
Q067,Algorithms,Complexity Analysis,Easy,What is Big O notation used for?,"Big O notation describes the upper bound of an algorithm's time or space complexity, helping to analyze how its performance scales with input size.","big o notation,time complexity,space complexity"
Q068,Algorithms,Graph Algorithms,Hard,How does Dijkstra's algorithm find the shortest path in a weighted graph?,Dijkstra's algorithm finds the shortest path from a source node to all other nodes by repeatedly selecting the unvisited node with the smallest known distance and updating distances to its neighbors.,"dijkstra,shortest path,weighted graph"
Q069,Algorithms,Sorting,Medium,How does quicksort work and what is its average time complexity?,"Quicksort selects a pivot element, partitions the array into elements less than and greater than the pivot, and recursively sorts the partitions. Its average time complexity is O(n log n).","quicksort,pivot,partition,time complexity"
Q070,Algorithms,Backtracking,Hard,What is backtracking and give one problem where it is commonly used.,Backtracking is an algorithmic technique that incrementally builds candidates for a solution and abandons a candidate as soon as it determines it cannot lead to a valid solution. It is commonly used in the N-Queens problem.,"backtracking,n-queens,candidate solutions"
Q071,Computer Networks,OSI Model,Medium,What are the seven layers of the OSI model?,"The seven layers of the OSI model are Physical, Data Link, Network, Transport, Session, Presentation, and Application, each handling a specific aspect of network communication.","osi model,layers,physical,application"
Q072,Computer Networks,TCP/IP,Medium,What is the difference between TCP and UDP?,"TCP is a connection-oriented protocol that guarantees reliable, ordered delivery of data, while UDP is connectionless and faster but does not guarantee delivery or order.","tcp,udp,connection oriented,reliability"
Q073,Computer Networks,IP Addressing,Easy,What is the difference between IPv4 and IPv6?,"IPv4 uses 32-bit addresses allowing about 4.3 billion unique addresses, while IPv6 uses 128-bit addresses providing a vastly larger address space to accommodate more devices.","ipv4,ipv6,addressing,bits"
Q074,Computer Networks,DNS,Easy,What is DNS and why is it important?,"DNS, or Domain Name System, translates human-readable domain names into IP addresses, allowing users to access websites without memorizing numerical addresses.","dns,domain name,ip address,translation"
Q075,Computer Networks,Routing,Medium,What is the difference between a router and a switch?,"A router connects different networks and directs data packets between them based on IP addresses, while a switch connects devices within the same network using MAC addresses.","router,switch,ip address,mac address"
Q076,Computer Networks,Security,Medium,What is a firewall and how does it protect a network?,"A firewall is a security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules, protecting the network from unauthorized access.","firewall,network security,traffic filtering"
Q077,Computer Networks,Protocols,Easy,What is the purpose of the HTTP protocol?,"HTTP, or Hypertext Transfer Protocol, is used for transmitting web pages and data between a client, such as a browser, and a web server.","http,protocol,web,client server"
Q078,Computer Networks,Network Types,Easy,What is the difference between a LAN and a WAN?,"A LAN, or Local Area Network, connects devices within a small geographic area like an office, while a WAN, or Wide Area Network, connects devices across larger distances, such as cities or countries.","lan,wan,network,geographic area"
Q079,Computer Networks,Congestion Control,Hard,What is network congestion and how is it controlled in TCP?,"Network congestion occurs when too much data is sent through a network, causing delays or packet loss. TCP controls congestion using techniques like slow start, congestion avoidance, and window resizing.","congestion control,tcp,slow start,packet loss"
Q080,Computer Networks,Security,Medium,What is the difference between symmetric and asymmetric encryption?,"Symmetric encryption uses the same key for both encryption and decryption, while asymmetric encryption uses a pair of public and private keys, offering better security for key exchange.","symmetric encryption,asymmetric encryption,public key,private key"
Q081,OOP,Basics,Easy,What are the four main pillars of Object-Oriented Programming?,"The four main pillars of OOP are Encapsulation, Abstraction, Inheritance, and Polymorphism.","encapsulation,abstraction,inheritance,polymorphism"
Q082,OOP,Encapsulation,Easy,What is encapsulation and why is it important?,"Encapsulation is the bundling of data and methods that operate on that data within a single unit, restricting direct access to some components to protect data integrity.","encapsulation,data hiding,access modifiers"
Q083,OOP,Polymorphism,Medium,What is polymorphism? Explain with an example.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling the same method call to behave differently depending on the object's actual class.","polymorphism,method overriding,superclass"
Q084,OOP,Abstraction,Medium,What is abstraction in OOP and how is it implemented?,"Abstraction hides complex implementation details and shows only essential features to the user, often implemented using abstract classes or interfaces.","abstraction,abstract class,interface"
Q085,OOP,Inheritance,Medium,What is multiple inheritance and what challenges does it introduce?,"Multiple inheritance allows a class to inherit from more than one parent class, but it can introduce ambiguity, such as the diamond problem, when the same method exists in multiple parent classes.","multiple inheritance,diamond problem,ambiguity"
Q086,OOP,Classes and Objects,Easy,What is the difference between a class and an object?,"A class is a blueprint defining properties and behaviors, while an object is an instance of a class created based on that blueprint.","class,object,instance,blueprint"
Q087,OOP,Constructors,Easy,What is a constructor and when is it called?,"A constructor is a special method used to initialize an object, automatically called when an instance of a class is created.","constructor,initialization,instance"
Q088,OOP,Overloading vs Overriding,Hard,What is the difference between method overloading and method overriding?,"Method overloading involves defining multiple methods with the same name but different parameters within the same class, while method overriding involves redefining a parent class method in a child class with the same signature.","overloading,overriding,method signature"
Q089,OOP,Interfaces,Medium,What is an interface in OOP and how does it differ from an abstract class?,"An interface defines a contract of methods that implementing classes must provide, without any implementation, while an abstract class can provide some implemented methods along with abstract ones.","interface,abstract class,contract"
Q090,OOP,Design Principles,Hard,What is the SOLID principle in object-oriented design?,"SOLID is a set of five design principles: Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion, aimed at making software more maintainable and scalable.","solid,single responsibility,open closed,design principles"
Q091,Basic Statistics,Central Tendency,Easy,"What is the difference between mean, median, and mode?","The mean is the average of all values, the median is the middle value when data is sorted, and the mode is the most frequently occurring value in a dataset.","mean,median,mode,central tendency"
Q092,Basic Statistics,Dispersion,Medium,What is standard deviation and what does it measure?,"Standard deviation measures the amount of variation or dispersion in a set of values relative to the mean, indicating how spread out the data points are.","standard deviation,variance,dispersion"
Q093,Basic Statistics,Probability,Easy,What is the difference between independent and dependent events in probability?,"Independent events do not affect each other's outcomes, while dependent events have outcomes that are influenced by the occurrence of a previous event.","independent events,dependent events,probability"
Q094,Basic Statistics,Distributions,Medium,What is a normal distribution and what are its key properties?,"A normal distribution is a symmetric, bell-shaped probability distribution where most data points cluster around the mean, with properties defined by its mean and standard deviation.","normal distribution,bell curve,mean,standard deviation"
Q095,Basic Statistics,Correlation,Medium,What is correlation and how does it differ from causation?,"Correlation measures the strength and direction of a relationship between two variables, while causation implies that one variable directly causes a change in another. Correlation does not necessarily imply causation.","correlation,causation,relationship,variables"
Q096,Basic Statistics,Hypothesis Testing,Hard,What is a p-value in hypothesis testing?,"A p-value indicates the probability of obtaining results at least as extreme as observed, assuming the null hypothesis is true, and is used to determine statistical significance.","p-value,hypothesis testing,null hypothesis,significance"
Q097,Basic Statistics,Sampling,Medium,What is the difference between a population and a sample?,"A population includes all members of a defined group, while a sample is a subset of the population selected for analysis to make inferences about the whole population.","population,sample,inference"
Q098,Basic Statistics,Distributions,Easy,What does variance measure in a dataset?,"Variance measures how far each data point in a set is from the mean, and consequently how spread out the dataset is, expressed as the average of squared deviations.","variance,mean,deviation,spread"
Q099,Basic Statistics,Probability,Medium,What is Bayes' Theorem and why is it important in machine learning?,"Bayes' Theorem describes the probability of an event based on prior knowledge of related conditions, and is fundamental to probabilistic machine learning models like Naive Bayes classifiers.","bayes theorem,conditional probability,naive bayes"
Q100,Basic Statistics,Data Analysis,Easy,What is an outlier and how can it affect data analysis?,"An outlier is a data point that differs significantly from other observations. Outliers can skew statistical measures like the mean and standard deviation, potentially leading to misleading conclusions.","outlier,skew,data analysis"
